id,SalePrice
2658,151648.8124992842
2718,183752.91925768557
2414,206243.2298757186
1989,115151.5976819982
625,175244.79502232154
333,85008.51047864111
1327,102255.39146697932
858,147897.6726456256
95,208364.59808802637
1568,171333.660464787
2482,163908.05746803083
1364,113660.99261143168
2584,150493.86234865847
818,290311.77907447226
2673,145927.7573173321
2089,122377.89737418738
1297,157693.50771982613
790,123865.15586481035
2616,184744.5567693908
720,177461.21669944597
222,134252.88974425872
557,125889.94998005616
1148,196745.84659982208
2766,161385.23586010543
534,185436.98014545528
1452,116890.28229948432
630,148012.8077399834
2648,155982.11984586623
125,142919.86210519497
1904,62616.92718317
1670,104577.40478563654
756,90220.679802112
717,229086.65718013392
1032,154600.1193773299
852,205728.03495608893
1731,185868.67474244267
2639,107996.42208949004
2071,88274.22925167171
1267,98182.92713229192
1851,198720.15187022384
567,183735.2410985304
2439,200112.94885751643
1898,158735.5303804
647,135272.72300819328
2256,221142.26073285023
979,97884.26375351063
1444,216598.08748083928
2485,127313.2287286619
157,114858.61608936358
88,129129.56778852962
2003,98327.6655420534
186,220208.90761926275
1425,238553.90818348163
2695,111448.05542727024
738,114328.72847494153
395,152117.90860440733
1353,181775.8200421205
1878,140324.85477909743
390,178752.43750450437
1456,223611.63404831124
1103,315150.7412420973
1387,133525.14963685494
2070,134678.75751440015
1199,186470.12616753488
2479,173324.6754886784
501,316467.0534117316
2362,78461.56146874506
1718,227930.16268494268
2188,77687.12323697496
1483,145759.1735509936
2557,92733.06962311352
437,350534.999552954
2224,198164.18399360933
1628,178250.17599281954
397,133996.34210734718
587,207405.7119077955
971,153916.40797915251
2611,144680.41362702232
1887,88167.48536200452
2399,362656.496917242
2148,199416.42436350364
304,114334.83045679289
1997,124982.35890806912
2817,130280.26714266224
1431,193516.6042101993
427,385117.84720313817
263,130602.18544120404
598,187026.10884906465
2895,255441.27842857505
687,137946.65511558784
1822,130537.65324540676
2191,112887.38545257716
179,112007.7515291119
1009,244744.310787014
2010,120223.61386749742
1991,145562.14000271374
1411,148242.55773396237
1721,271373.8333450642
1144,192693.23485895345
593,221064.1346142259
575,312984.3899058704
1249,182246.63689236503
1604,121867.26445474132
1064,429558.9386795278
1923,147272.03489461332
1988,74454.33192658823
2325,167678.5682396247
114,209766.52718289697
2700,194706.62354377512
217,160634.15670189747
343,181710.52867609265
386,248299.23091034687
2005,111413.24197088796
2908,118066.38258851884
1814,204681.18973529767
2446,429476.4016923951
208,136156.29180403645
1679,124359.53374187282
822,314789.0678685404
6,176867.906650554
1781,385428.9739173207
2397,345052.01167184964
2340,299281.97801072267
1618,165916.56661888657
2843,143067.5609822306
1061,379873.1888962729
2786,114601.4879088556
1935,130195.84646732383
1341,115870.76694348996
521,264705.8076499743
2136,137091.98815216692
996,186375.8942029287
227,134518.26879490507
135,156971.6885270279
1167,190843.75638219173
294,222013.06843454417
